Code,Artikel,Size
192824170073,Authentic Aqua Haze True White,EUR 43 // US 10
CLC-AUTH-BB-4.0,AUTHENTIC BLACK BLACK,EUR 35 // US 4
CLC-AUTH-BB-4.5,AUTHENTIC BLACK BLACK,EUR 36 // US 4.5
CLC-AUTH-BB-5.0,AUTHENTIC BLACK BLACK,EUR 36.5 // US 5
CLC-AUTH-BB-5.5,AUTHENTIC BLACK BLACK,EUR 37 // US 5.5
CLC-AUTH-BB-6.0,AUTHENTIC BLACK BLACK,EUR 38 // US 6
CLC-AUTH-BB-6.5,AUTHENTIC BLACK BLACK,EUR 38.5 // US 6.5
CLC-AUTH-BB-7.0,AUTHENTIC BLACK BLACK,EUR 39 // US 7
CLC-AUTH-BB-7.5,AUTHENTIC BLACK BLACK,EUR 40 // US 7.5
CLC-AUTH-BB-8.0,AUTHENTIC BLACK BLACK,EUR 40.5 // US 8
CLC-AUTH-BB-8.5,AUTHENTIC BLACK BLACK,EUR 41 // US 8.5
CLC-AUTH-BB-9.0,AUTHENTIC BLACK BLACK,EUR 42 // US 9
CLC-AUTH-BB-9.5,AUTHENTIC BLACK BLACK,EUR 42.5 // US 9.5
CLC-AUTH-BB-10.0,AUTHENTIC BLACK BLACK,EUR 43 // US 10
CLC-AUTH-BB-10.5,AUTHENTIC BLACK BLACK,EUR 44 // US 10.5
CLC-AUTH-BB-11.0,AUTHENTIC BLACK BLACK,EUR 44.5 // US 11
CLC-AUTH-BB-11.5,AUTHENTIC BLACK BLACK,EUR 45 // US 11.5
CLC-AUTH-BB-12.0,AUTHENTIC BLACK BLACK,EUR 46 // US 12
CLC-AUTH-BG-4.0,AUTHENTIC BLACK GUM,EUR 35 // US 4
CLC-AUTH-BG-4.5,AUTHENTIC BLACK GUM,EUR 36 // US 4.5
CLC-AUTH-BG-5.0,AUTHENTIC BLACK GUM,EUR 36.5 // US 5
CLC-AUTH-BG-5.5,AUTHENTIC BLACK GUM,EUR 37 // US 5.5
CLC-AUTH-BG-6.0,AUTHENTIC BLACK GUM,EUR 38 // US 6
CLC-AUTH-BG-6.5,AUTHENTIC BLACK GUM,EUR 38.5 // US 6.5
CLC-AUTH-BG-7.0,AUTHENTIC BLACK GUM,EUR 39 // US 7
CLC-AUTH-BG-7.5,AUTHENTIC BLACK GUM,EUR 40 // US 7.5
